Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
315030 PIEDADE DO RIO GRANDE,-,-,-,-,2,-,-,-,-
315057 PINTOPOLIS,-,-,-,1,-,-,-,-,-
315060 PIRACEMA,1,-,-,-,-,-,-,-,-
315070 PIRAJUBA,1,-,-,-,-,-,-,-,-
315080 PIRANGA,-,-,-,2,-,-,-,1,-
315100 PIRANGUINHO,-,-,1,-,-,-,-,-,-
315110 PIRAPETINGA,1,-,1,-,1,1,-,2,2
315120 PIRAPORA,17,15,12,21,14,28,24,20,12
315130 PIRAUBA,-,-,-,-,-,-,-,-,1
315140 PITANGUI,4,1,3,2,2,4,3,1,1
315150 PIUMHI,3,5,-,2,-,3,1,3,1
315160 PLANURA,1,-,-,-,1,-,-,-,2
315170 POCO FUNDO,1,-,-,1,1,-,-,-,-
315180 POCOS DE CALDAS,20,18,14,14,25,20,16,23,25
315190 POCRANE,-,-,1,1,1,-,-,-,1
315200 POMPEU,2,1,2,3,4,-,2,-,1
315210 PONTE NOVA,12,16,16,15,18,26,24,23,16
315213 PONTO CHIQUE,1,-,-,-,-,-,-,-,-
315217 PONTO DOS VOLANTES,-,-,1,-,-,1,-,-,-
315220 PORTEIRINHA,12,3,2,1,3,2,-,1,1
315230 PORTO FIRME,1,-,-,-,-,-,-,-,-
315240 POTE,1,1,-,1,-,1,-,2,-
315250 POUSO ALEGRE,46,54,64,70,56,37,32,48,50
315270 PRADOS,-,-,-,-,1,-,-,-,-
315280 PRATA,2,-,-,-,1,-,1,-,-
315310 PRESIDENTE BERNARDES,-,1,-,-,-,-,-,-,-
315340 PRESIDENTE OLEGARIO,-,-,-,1,2,2,-,-,-
315350 ALTO JEQUITIBA,-,-,-,1,-,-,-,-,-
315360 PRUDENTE DE MORAIS,-,-,-,-,-,-,-,1,-
315370 QUARTEL GERAL,1,-,-,-,-,-,-,-,-
315390 RAPOSOS,-,-,-,1,-,-,-,-,-
315400 RAUL SOARES,3,3,3,3,2,-,2,-,1
315410 RECREIO,-,-,-,1,1,-,-,3,-
315420 RESENDE COSTA,3,1,-,-,3,1,-,1,-
315430 RESPLENDOR,9,4,6,2,4,2,4,1,3
315445 RIACHINHO,-,-,1,-,-,-,1,-,-
315450 RIACHO DOS MACHADOS,-,-,1,-,-,1,-,-,-
315460 RIBEIRAO DAS NEVES,12,14,17,3,8,16,7,12,8
315470 RIBEIRAO VERMELHO,-,-,1,-,-,-,-,-,-
315490 RIO CASCA,-,-,-,-,-,-,-,-,1
315510 RIO DO PRADO,-,-,1,-,-,-,-,-,-
315520 RIO ESPERA,-,1,-,-,-,-,1,-,-
315550 RIO PARANAIBA,-,1,-,-,-,-,-,1,1
315560 RIO PARDO DE MINAS,2,2,2,-,-,-,1,-,3
315580 RIO POMBA,-,2,1,3,2,-,-,-,-
315590 RIO PRETO,1,-,-,-,-,-,-,-,-
315600 RIO VERMELHO,1,-,1,2,-,-,-,-,1
315650 RUBELITA,-,-,-,-,1,-,-,-,-
315660 RUBIM,1,1,1,1,2,-,1,-,2
315670 SABARA,4,-,4,4,2,2,2,1,2
315680 SABINOPOLIS,3,3,4,2,1,1,-,-,-
315690 SACRAMENTO,1,3,1,1,-,-,1,-,2
315700 SALINAS,5,9,5,3,4,4,1,1,2
315710 SALTO DA DIVISA,-,1,-,1,-,-,-,-,-
315720 SANTA BARBARA,3,1,7,2,2,3,1,3,-
315727 SANTA BARBARA DO MONTE VERDE,-,-,-,-,-,-,1,-,-
315730 SANTA BARBARA DO TUGURIO,-,-,1,-,1,-,-,-,-
315733 SANTA CRUZ DE MINAS,-,-,-,-,1,1,-,-,-
315737 SANTA CRUZ DE SALINAS,-,-,-,-,-,-,-,1,-
315765 SANTA HELENA DE MINAS,1,-,-,-,-,-,2,-,-
315770 SANTA JULIANA,1,1,-,1,1,-,-,1,1
315780 SANTA LUZIA,6,3,2,3,4,3,2,1,5
315790 SANTA MARGARIDA,1,1,-,-,1,3,-,1,-
315800 SANTA MARIA DE ITABIRA,-,-,-,-,-,-,1,-,-
315820 SANTA MARIA DO SUACUI,5,2,4,2,3,4,6,5,2
315830 SANTANA DA VARGEM,-,-,-,-,-,-,1,-,-
315850 SANTANA DE PIRAPAMA,-,-,-,-,-,-,-,-,1
315870 SANTANA DO GARAMBEU,-,1,-,-,-,-,-,-,-
315880 SANTANA DO JACARE,-,-,-,-,1,-,-,-,-
315890 SANTANA DO MANHUACU,1,-,-,2,1,-,1,-,-
315895 SANTANA DO PARAISO,-,-,-,-,-,-,-,-,1
315900 SANTANA DO RIACHO,-,-,1,-,-,-,-,-,-
315930 SANTA RITA DE JACUTINGA,1,1,-,-,-,-,-,-,-
315950 SANTA RITA DO ITUETO,-,-,-,-,-,-,-,1,-
315960 SANTA RITA DO SAPUCAI,2,1,-,-,1,1,-,-,1
315970 SANTA ROSA DA SERRA,-,-,-,-,-,1,-,-,-
315980 SANTA VITORIA,-,1,2,1,2,2,-,2,-
315990 SANTO ANTONIO DO AMPARO,-,-,1,-,1,1,1,-,-
316020 SANTO ANTONIO DO ITAMBE,-,-,-,-,1,-,-,-,-
316030 SANTO ANTONIO DO JACINTO,-,-,-,-,-,-,-,-,1
316040 SANTO ANTONIO DO MONTE,2,1,1,-,-,2,-,2,1
316045 SANTO ANTONIO DO RETIRO,-,-,-,-,-,1,-,-,-
316060 SANTO HIPOLITO,-,-,-,-,1,-,-,-,-
316070 SANTOS DUMONT,4,7,1,1,4,1,1,4,4
316100 SAO DOMINGOS DO PRATA,-,1,-,1,2,-,-,-,-
316105 SAO FELIX DE MINAS,-,-,-,-,-,-,1,-,-
316110 SAO FRANCISCO,18,19,7,7,10,5,7,1,2
316165 SAO GERALDO DO BAIXIO,-,1,-,-,-,-,-,-,-
316180 SAO GONCALO DO PARA,-,-,-,-,-,-,-,-,1
316190 SAO GONCALO DO RIO ABAIXO,1,-,-,-,-,-,1,-,1
316200 SAO GONCALO DO SAPUCAI,3,-,5,2,3,2,6,1,2
316210 SAO GOTARDO,1,1,4,3,4,5,6,2,2
316230 SAO JOAO DA MATA,-,1,-,-,-,-,-,-,-
316240 SAO JOAO DA PONTE,3,1,-,-,-,-,-,2,-
316245 SAO JOAO DAS MISSOES,-,3,-,2,-,1,1,1,-
316250 SAO JOAO DEL REI,22,22,26,18,17,13,15,6,14
316260 SAO JOAO DO ORIENTE,-,-,-,-,1,-,1,-,-
316265 SAO JOAO DO PACUI,-,-,-,-,-,-,1,-,-
316270 SAO JOAO DO PARAISO,2,4,3,1,2,1,2,-,-
316280 SAO JOAO EVANGELISTA,3,3,1,3,1,-,-,-,2
316290 SAO JOAO NEPOMUCENO,3,3,1,-,2,4,4,2,3
316292 SAO JOAQUIM DE BICAS,-,1,-,1,-,1,-,1,1
316294 SAO JOSE DA BARRA,-,-,-,-,-,-,1,-,-
316295 SAO JOSE DA LAPA,1,-,-,1,-,-,1,-,-
316300 SAO JOSE DA SAFIRA,-,-,-,-,-,-,-,1,-
316340 SAO JOSE DO GOIABAL,-,-,-,-,-,-,1,-,-
316350 SAO JOSE DO JACURI,-,-,-,-,-,-,-,1,-
316370 SAO LOURENCO,10,13,21,16,20,16,14,10,12
316390 SAO PEDRO DA UNIAO,1,-,-,-,-,-,-,-,1
316400 SAO PEDRO DOS FERROS,1,-,-,-,-,-,-,-,-
316420 SAO ROMAO,2,1,-,1,-,-,-,1,-
316430 SAO ROQUE DE MINAS,-,-,-,-,-,1,-,-,-
316460 SAO SEBASTIAO DO OESTE,-,-,-,-,-,-,1,-,-
316470 SAO SEBASTIAO DO PARAISO,25,23,16,13,19,20,23,16,15
316480 SAO SEBASTIAO DO RIO PRETO,-,-,1,-,-,-,-,-,-
316500 SAO TIAGO,-,-,-,-,-,-,-,-,1
316510 SAO TOMAS DE AQUINO,1,-,1,1,-,-,-,-,-
316520 SAO THOME DAS LETRAS,1,-,-,-,-,1,-,-,-
316530 SAO VICENTE DE MINAS,-,-,-,-,-,-,-,1,-
316553 SARZEDO,1,1,1,-,-,-,-,2,-
316555 SETUBINHA,1,-,1,-,3,2,-,-,-
316570 SENADOR FIRMINO,-,-,-,-,-,1,-,-,-
316600 SENHORA DE OLIVEIRA,-,-,-,-,2,-,-,-,-
316610 SENHORA DO PORTO,-,1,-,2,-,-,-,-,-
316630 SERICITA,-,-,1,1,-,-,-,-,-
316650 SERRA AZUL DE MINAS,-,-,-,1,-,-,-,-,-
316680 SERRA DO SALITRE,-,-,1,-,-,1,-,-,-
316690 SERRANIA,-,-,-,-,-,1,-,-,-
316695 SERRANOPOLIS DE MINAS,-,-,-,-,-,-,1,-,-
316710 SERRO,4,3,1,-,2,1,6,2,3
316720 SETE LAGOAS,69,52,56,39,40,45,50,41,30
316760 SIMONESIA,-,-,1,1,-,1,2,-,-
316780 SOLEDADE DE MINAS,-,-,-,-,-,-,-,1,-
316800 TAIOBEIRAS,11,6,5,12,14,8,19,18,14
316805 TAPARUBA,-,-,-,-,1,-,-,-,-
316810 TAPIRA,-,1,-,-,-,-,-,-,-
316840 TARUMIRIM,-,1,-,-,-,-,1,-,-
316860 TEOFILO OTONI,85,81,69,85,70,82,86,70,83
316870 TIMOTEO,12,13,7,12,10,6,7,4,5
316880 TIRADENTES,-,-,-,-,-,-,-,1,-
316890 TIROS,1,-,-,-,-,-,-,-,-
316900 TOCANTINS,-,-,-,1,1,-,-,-,-
316910 TOLEDO,-,-,-,-,1,-,-,-,-
316920 TOMBOS,1,-,-,-,1,-,-,-,-
316930 TRES CORACOES,12,18,18,15,18,14,20,12,11
316935 TRES MARIAS,2,1,3,1,-,1,1,4,-
316940 TRES PONTAS,5,6,2,2,3,7,4,4,4
316950 TUMIRITINGA,-,1,-,-,-,-,1,-,-
316960 TUPACIGUARA,-,1,1,-,-,-,-,-,-
316970 TURMALINA,4,2,2,4,2,2,1,2,2
316990 UBA,31,29,26,26,36,20,25,28,20
317000 UBAI,-,-,-,-,-,-,-,1,-
317010 UBERABA,81,72,88,67,72,88,96,67,61
317020 UBERLANDIA,109,124,123,143,145,146,136,109,104
317040 UNAI,7,10,9,4,11,7,6,6,5
317052 URUCUIA,1,1,-,1,1,-,-,1,-
317057 VARGEM ALEGRE,-,1,-,-,-,-,-,-,-
317070 VARGINHA,18,21,24,26,31,26,19,21,25
317075 VARJAO DE MINAS,-,-,1,-,-,-,1,-,-
317080 VARZEA DA PALMA,7,1,4,4,-,-,-,-,1
317090 VARZELANDIA,1,1,2,3,-,1,-,1,1
317100 VAZANTE,-,1,1,2,1,1,2,-,-
317103 VERDELANDIA,1,1,-,-,-,-,-,-,-
317107 VEREDINHA,-,-,-,-,-,-,1,-,-
317120 VESPASIANO,4,1,4,3,2,2,2,2,-
317130 VICOSA,15,18,12,19,17,12,17,14,7
317180 VIRGINOPOLIS,4,2,1,2,1,-,1,-,1
317200 VISCONDE DO RIO BRANCO,3,5,2,2,4,2,2,2,2
317210 VOLTA GRANDE,-,-,-,-,-,1,-,-,-
320010 AFONSO CLAUDIO,3,2,4,2,2,1,2,2,-
320016 AGUA DOCE DO NORTE,-,-,-,-,-,-,-,-,1
320020 ALEGRE,-,1,3,-,-,1,1,1,1
320040 ANCHIETA,1,2,2,1,-,2,-,1,-
320060 ARACRUZ,3,-,6,4,4,6,4,4,4
320070 ATILIO VIVACQUA,-,1,-,1,-,-,-,-,-
320080 BAIXO GUANDU,1,1,2,-,1,-,-,-,1
320090 BARRA DE SAO FRANCISCO,9,2,6,4,4,2,4,3,4
320100 BOA ESPERANCA,2,-,-,1,-,-,1,-,-
320115 BREJETUBA,-,-,1,-,-,-,2,-,-
320120 CACHOEIRO DE ITAPEMIRIM,82,86,88,101,71,84,78,66,77
320130 CARIACICA,15,13,18,16,10,14,7,10,8
320140 CASTELO,1,-,1,2,2,-,2,-,2
320150 COLATINA,55,76,83,81,71,75,75,59,84
320160 CONCEICAO DA BARRA,1,1,1,-,-,2,1,-,1
320170 CONCEICAO DO CASTELO,-,-,-,1,-,-,-,-,-
320180 DIVINO DE SAO LOURENCO,-,-,1,-,-,-,-,-,-
320190 DOMINGOS MARTINS,3,1,1,2,1,2,-,1,-
320200 DORES DO RIO PRETO,-,-,-,-,-,-,-,-,1
320210 ECOPORANGA,4,2,-,-,-,2,-,2,-
320220 FUNDAO,-,1,-,-,-,-,-,-,1
320230 GUACUI,2,3,-,2,1,1,3,3,2
320240 GUARAPARI,7,1,12,12,13,7,7,8,10
320245 IBATIBA,-,2,5,1,2,-,3,2,2
320250 IBIRACU,-,-,-,1,-,1,-,-,1
320255 IBITIRAMA,-,-,-,-,-,1,-,-,-
320260 ICONHA,-,-,-,-,-,1,1,-,-
320265 IRUPI,-,-,1,-,-,-,-,-,-
320280 ITAPEMIRIM,4,3,1,6,2,6,3,4,3
320300 IUNA,3,3,2,4,1,1,2,-,5
320305 JAGUARE,1,-,2,1,2,2,1,-,-
320310 JERONIMO MONTEIRO,-,-,-,1,-,-,-,-,1
320313 JOAO NEIVA,-,1,-,-,-,-,-,-,-
320316 LARANJA DA TERRA,1,-,-,-,-,-,-,-,-
320320 LINHARES,22,24,14,17,19,16,13,21,20
320330 MANTENOPOLIS,-,-,1,-,-,-,-,-,1
320334 MARECHAL FLORIANO,-,-,-,-,-,1,-,-,-
320340 MIMOSO DO SUL,-,-,1,-,-,1,1,-,1
320350 MONTANHA,2,1,2,-,2,1,2,1,-
320360 MUCURICI,1,1,1,-,2,-,-,-,-
320370 MUNIZ FREIRE,2,1,1,2,2,-,-,-,-
320380 MUQUI,-,-,1,-,-,-,-,-,-
320390 NOVA VENECIA,1,2,2,1,1,1,1,1,2
320400 PANCAS,-,2,-,-,-,-,-,-,-
320405 PEDRO CANARIO,2,-,-,1,2,2,-,2,2
320410 PINHEIROS,1,2,1,1,1,1,-,1,-
320420 PIUMA,-,-,-,-,-,1,1,-,-
320430 PRESIDENTE KENNEDY,-,-,-,1,-,-,-,-,-
320435 RIO BANANAL,-,-,-,-,-,-,1,1,-
320440 RIO NOVO DO SUL,-,-,1,-,-,-,-,-,-
320450 SANTA LEOPOLDINA,-,1,-,-,1,-,-,-,-
320455 SANTA MARIA DE JETIBA,-,1,1,4,-,2,3,1,2
320460 SANTA TERESA,1,1,2,1,2,2,1,-,1
320470 SAO GABRIEL DA PALHA,1,4,4,2,1,-,-,2,1
320480 SAO JOSE DO CALCADO,-,4,-,2,-,1,2,-,1
320490 SAO MATEUS,17,22,20,19,35,25,16,25,15
320500 SERRA,105,134,121,135,114,135,133,114,127
320501 SOORETAMA,-,1,-,1,2,-,1,-,-
320503 VARGEM ALTA,-,-,1,-,-,-,-,-,-
320506 VENDA NOVA DO IMIGRANTE,4,4,-,1,2,3,3,3,7
320510 VIANA,-,1,1,1,-,1,2,-,1
320515 VILA PAVAO,1,-,-,-,-,-,-,-,-
320517 VILA VALERIO,1,-,-,-,-,1,-,-,1
320520 VILA VELHA,98,134,125,91,111,106,120,115,129
320530 VITORIA,141,100,111,109,114,93,80,81,82
330010 ANGRA DOS REIS,26,25,15,16,12,23,17,26,15
330015 APERIBE,-,1,-,1,1,1,1,-,1
330020 ARARUAMA,29,24,19,13,8,9,13,4,14
330022 AREAL,-,-,-,-,-,1,-,-,-
330023 ARMACAO DOS BUZIOS,7,2,1,5,5,3,4,9,4
330025 ARRAIAL DO CABO,-,2,3,7,2,2,3,1,1
330030 BARRA DO PIRAI,9,5,3,2,8,3,3,1,7
330040 BARRA MANSA,27,38,27,24,29,26,33,21,23
330045 BELFORD ROXO,18,32,20,19,6,16,19,19,17
330050 BOM JARDIM,2,3,2,4,2,1,4,3,5
330060 BOM JESUS DO ITABAPOANA,4,5,3,2,4,4,5,3,3
330070 CABO FRIO,26,52,32,30,35,33,33,16,15
330080 CACHOEIRAS DE MACACU,2,6,7,2,4,-,2,3,2
330090 CAMBUCI,2,2,-,-,1,1,-,-,1
330100 CAMPOS DOS GOYTACAZES,151,149,174,177,127,118,137,143,154
330110 CANTAGALO,3,5,15,6,2,9,3,4,2
330115 CARDOSO MOREIRA,-,-,-,1,-,-,-,2,-
330120 CARMO,2,1,2,1,2,2,2,3,-
330130 CASIMIRO DE ABREU,4,2,3,-,2,2,2,1,4
330140 CONCEICAO DE MACABU,1,-,-,-,1,-,1,-,-
330150 CORDEIRO,2,2,5,3,2,-,-,-,2
330160 DUAS BARRAS,-,3,-,-,-,-,2,1,-
330170 DUQUE DE CAXIAS,241,236,256,260,227,252,244,206,182
330180 ENGENHEIRO PAULO DE FRONTIN,-,-,1,-,-,-,-,-,1
330185 GUAPIMIRIM,3,4,2,4,2,7,1,3,1
330187 IGUABA GRANDE,-,-,-,3,1,2,-,-,-
330190 ITABORAI,15,11,13,6,8,8,12,10,7
330200 ITAGUAI,6,3,4,9,4,5,10,6,8
330205 ITALVA,-,1,-,-,-,-,-,-,-
330210 ITAOCARA,1,1,2,7,2,4,2,4,-
330220 ITAPERUNA,13,18,23,23,26,25,20,20,20
330225 ITATIAIA,-,1,-,-,-,-,-,-,1
330227 JAPERI,2,6,2,2,2,1,2,5,1
330230 LAJE DO MURIAE,-,1,-,-,-,-,-,-,-
330240 MACAE,56,64,60,66,65,59,62,48,59
330245 MACUCO,-,-,-,-,1,1,-,-,-
330250 MAGE,21,15,8,22,12,15,13,18,11
330260 MANGARATIBA,2,3,2,-,3,4,5,3,3
330270 MARICA,7,7,8,3,5,9,6,5,8
330285 MESQUITA,25,27,34,36,78,52,57,59,54
330290 MIGUEL PEREIRA,3,3,5,7,5,1,5,1,3
330300 MIRACEMA,4,2,1,1,1,7,6,-,4
330310 NATIVIDADE,1,4,3,-,-,1,1,-,-
330320 NILOPOLIS,61,61,59,48,45,23,27,31,49
330330 NITEROI,140,140,152,164,147,142,181,169,172
330340 NOVA FRIBURGO,30,22,12,27,21,15,17,14,8
330350 NOVA IGUACU,117,128,126,155,165,190,124,115,115
330360 PARACAMBI,3,2,5,4,3,-,1,2,8
330370 PARAIBA DO SUL,1,-,1,1,1,-,-,2,3
330380 PARATY,4,3,5,2,1,9,2,5,5
330390 PETROPOLIS,67,82,61,34,41,51,61,49,52
330395 PINHEIRAL,1,2,3,2,-,1,1,1,-
330400 PIRAI,2,1,1,2,3,2,3,-,1
330410 PORCIUNCULA,1,-,-,-,1,-,2,-,1
330411 PORTO REAL,-,1,1,-,1,-,1,-,1
330412 QUATIS,-,1,-,-,-,-,-,-,-
330414 QUEIMADOS,20,18,14,7,7,15,8,9,15
330415 QUISSAMA,-,1,1,3,3,2,-,1,3
330420 RESENDE,26,30,20,41,33,33,37,26,30
330430 RIO BONITO,10,9,7,8,5,3,2,4,5
330440 RIO CLARO,-,-,-,1,1,-,-,-,-
330450 RIO DAS FLORES,-,1,-,-,-,-,-,-,-
330452 RIO DAS OSTRAS,5,10,7,16,8,13,9,13,13
330455 RIO DE JANEIRO,1376,1306,1352,1333,1210,1207,1156,1101,1022
330460 SANTA MARIA MADALENA,1,2,-,-,1,-,3,-,1
330470 SANTO ANTONIO DE PADUA,5,4,4,4,3,5,3,4,3
330475 SAO FRANCISCO DE ITABAPOANA,1,-,-,-,1,-,2,-,2
330480 SAO FIDELIS,-,1,-,3,1,-,2,3,1
330490 SAO GONCALO,70,86,68,88,81,78,74,36,36
330500 SAO JOAO DA BARRA,2,1,-,-,1,-,1,-,-
330510 SAO JOAO DE MERITI,157,157,169,132,135,99,114,123,110
330513 SAO JOSE DE UBA,-,-,-,-,-,-,-,-,1
330515 SAO JOSE DO VALE DO RIO PRETO,1,1,1,-,-,-,-,-,-
330520 SAO PEDRO DA ALDEIA,3,8,7,11,5,9,17,4,4
330530 SAO SEBASTIAO DO ALTO,2,1,1,1,-,-,1,1,1
330540 SAPUCAIA,1,-,-,-,-,-,-,-,1
330550 SAQUAREMA,3,15,37,27,38,45,41,33,25
330555 SEROPEDICA,4,5,2,3,1,6,8,5,3
330560 SILVA JARDIM,-,2,-,-,2,-,1,-,1
330570 SUMIDOURO,1,3,3,1,-,2,-,1,1
330575 TANGUA,1,-,2,-,-,1,-,-,-
330580 TERESOPOLIS,13,12,11,13,16,12,12,13,8
330590 TRAJANO DE MORAES,-,-,-,-,-,-,-,1,-
330600 TRES RIOS,16,16,17,13,19,22,18,12,8
330610 VALENCA,12,11,8,7,7,9,11,10,7
330615 VARRE-SAI,1,-,-,-,-,1,-,-,-
330620 VASSOURAS,12,10,17,15,16,14,14,13,17
330630 VOLTA REDONDA,54,50,47,59,62,75,61,58,45
350010 ADAMANTINA,1,3,1,4,2,3,1,-,2
350030 AGUAI,-,1,2,-,-,-,1,1,-
350050 AGUAS DE LINDOIA,-,3,-,2,1,-,-,1,2
350060 AGUAS DE SAO PEDRO,-,-,-,-,1,-,-,-,-
350070 AGUDOS,1,-,1,2,3,3,-,2,2
350100 ALTINOPOLIS,-,-,1,1,1,-,-,1,-
350110 ALTO ALEGRE,-,-,1,-,-,-,-,-,-
350115 ALUMINIO,-,-,-,1,1,-,1,-,1
350130 ALVARES MACHADO,-,-,-,-,-,-,-,1,-
350160 AMERICANA,45,50,40,27,32,42,35,28,27
350170 AMERICO BRASILIENSE,1,-,3,1,1,-,1,-,-
350180 AMERICO DE CAMPOS,-,-,-,-,-,1,-,-,-
350190 AMPARO,1,-,3,2,-,1,3,1,3
350200 ANALANDIA,-,-,-,-,-,1,-,-,-
350210 ANDRADINA,2,6,2,3,2,3,5,3,5
350220 ANGATUBA,-,1,2,-,-,1,-,1,1
350250 APARECIDA,13,5,6,7,-,1,-,-,-
350270 APIAI,1,1,3,2,4,-,2,1,5
350275 ARACARIGUAMA,-,1,1,1,-,1,2,-,-
350280 ARACATUBA,54,75,77,85,82,113,74,58,63
350300 ARAMINA,-,-,-,-,-,-,1,-,-
350310 ARANDU,-,-,-,-,2,-,-,-,-
350315 ARAPEI,-,-,1,-,-,-,-,-,-
350320 ARARAQUARA,51,50,48,31,44,38,30,29,30
350330 ARARAS,12,26,26,28,25,29,26,24,24
350340 AREALVA,-,-,1,-,-,-,-,-,-
350360 AREIOPOLIS,-,1,1,-,-,-,-,-,-
350370 ARIRANHA,1,-,-,-,-,-,-,-,-
350380 ARTUR NOGUEIRA,-,-,2,1,1,-,2,-,-
350390 ARUJA,19,15,7,25,19,17,5,14,9
350400 ASSIS,46,36,33,31,36,42,24,31,33
350410 ATIBAIA,17,22,19,11,12,9,13,7,7
350420 AURIFLAMA,1,2,1,-,-,-,-,1,-
350440 AVANHANDAVA,-,1,-,-,-,-,-,-,-
350450 AVARE,11,20,5,6,6,11,8,3,8
350470 BALBINOS,-,-,-,1,-,-,-,-,-
350510 BARBOSA,-,-,-,-,-,1,-,-,-
350520 BARIRI,2,2,-,-,-,1,2,1,-
350530 BARRA BONITA,1,2,2,-,-,-,1,-,1
350535 BARRA DO CHAPEU,-,-,-,-,-,-,1,-,-
350540 BARRA DO TURVO,1,1,-,-,-,1,1,-,-
350550 BARRETOS,29,23,28,26,43,48,40,43,23
350560 BARRINHA,-,1,-,1,-,-,-,-,1
350570 BARUERI,63,70,91,55,46,67,68,42,43
350580 BASTOS,-,-,1,2,1,2,2,-,3
350590 BATATAIS,-,1,2,2,4,-,1,1,1
350600 BAURU,92,85,87,78,82,75,83,71,68
350610 BEBEDOURO,6,7,5,5,3,6,3,3,4
350630 BERNARDINO DE CAMPOS,-,1,1,-,-,-,-,-,-
350635 BERTIOGA,7,4,2,6,5,6,5,7,5
350650 BIRIGUI,5,2,9,6,8,3,3,3,2
350660 BIRITIBA-MIRIM,1,-,-,-,-,-,1,1,-
350670 BOA ESPERANCA DO SUL,-,-,1,1,1,-,-,-,-
350680 BOCAINA,-,-,-,-,-,1,-,-,-
350690 BOFETE,-,-,-,-,-,-,-,-,1
350700 BOITUVA,2,3,1,5,2,-,2,-,1
350710 BOM JESUS DOS PERDOES,1,-,-,-,-,-,-,1,2
350740 BORBOREMA,1,-,-,1,-,-,1,-,-
350750 BOTUCATU,66,62,84,69,70,84,86,79,77
350760 BRAGANCA PAULISTA,30,53,61,47,46,29,47,44,34
350780 BRODOWSKI,-,1,-,2,-,1,-,1,-
350790 BROTAS,1,2,1,-,1,1,1,-,-
350800 BURI,1,1,2,1,-,-,-,-,-
350810 BURITAMA,-,-,-,1,-,1,1,1,-
350820 BURITIZAL,-,-,2,-,-,-,-,-,-
350830 CABRALIA PAULISTA,-,-,1,-,-,1,-,-,-
350840 CABREUVA,2,-,2,2,3,3,3,1,5
350850 CACAPAVA,5,6,-,1,-,2,4,1,3
350860 CACHOEIRA PAULISTA,2,1,-,-,-,2,-,1,1
350870 CACONDE,-,-,1,-,1,-,-,-,-
350880 CAFELANDIA,2,1,-,1,-,-,-,-,2
350900 CAIEIRAS,24,21,21,19,26,8,13,8,7
350920 CAJAMAR,1,1,4,2,5,2,2,3,3
350925 CAJATI,3,1,1,-,-,-,1,-,-
350930 CAJOBI,-,-,-,1,-,-,-,-,-
350940 CAJURU,-,2,1,2,1,1,-,1,1
350945 CAMPINA DO MONTE ALEGRE,1,-,-,-,-,-,-,-,-
350950 CAMPINAS,234,227,224,244,245,232,229,214,233
350960 CAMPO LIMPO PAULISTA,2,3,3,-,2,1,5,1,2
350970 CAMPOS DO JORDAO,6,4,3,3,1,2,6,1,-
350990 CANANEIA,-,-,-,-,-,-,1,1,2
351000 CANDIDO MOTA,-,-,-,2,-,-,1,-,1
351015 CANITAR,-,-,-,-,-,-,-,-,2
351020 CAPAO BONITO,7,5,3,4,3,4,1,1,3
351030 CAPELA DO ALTO,1,-,-,-,-,1,-,-,-
351040 CAPIVARI,4,1,6,2,5,3,1,1,3
351050 CARAGUATATUBA,17,24,27,24,27,21,26,34,41
351060 CARAPICUIBA,55,45,50,44,46,37,53,43,46
351070 CARDOSO,-,-,-,1,-,-,-,-,-
351080 CASA BRANCA,1,1,4,2,1,1,-,-,1
351100 CASTILHO,1,-,-,-,1,1,-,1,-
351110 CATANDUVA,48,53,39,42,26,30,31,32,37
351130 CEDRAL,-,-,-,1,-,-,-,-,1
351140 CERQUEIRA CESAR,3,1,1,3,1,2,2,1,2
351150 CERQUILHO,2,2,-,-,-,-,1,1,-
351160 CESARIO LANGE,-,1,1,-,1,-,1,-,-
351170 CHARQUEADA,-,1,-,-,1,1,-,-,-
351190 CLEMENTINA,1,-,-,-,-,-,-,-,-
351200 COLINA,-,-,2,-,-,-,-,-,-
351220 CONCHAL,1,2,2,2,2,4,3,1,1
351230 CONCHAS,-,-,1,-,-,1,-,-,-
351250 COROADOS,-,-,-,1,1,-,1,-,-
351270 CORUMBATAI,-,-,1,-,-,-,-,-,-
351280 COSMOPOLIS,3,5,2,-,1,2,5,-,1
351290 COSMORAMA,1,-,-,-,-,-,-,-,-
351300 COTIA,37,29,33,39,20,25,41,15,25
351310 CRAVINHOS,1,2,-,-,1,-,1,1,1
351320 CRISTAIS PAULISTA,-,-,-,-,-,1,-,-,-
351340 CRUZEIRO,20,17,11,8,8,5,6,1,6
351350 CUBATAO,33,24,29,19,3,16,18,15,5
351360 CUNHA,-,1,-,-,1,1,-,-,1
351370 DESCALVADO,1,-,1,-,2,-,1,-,-
351380 DIADEMA,86,52,59,57,62,61,47,27,45
351390 DIVINOLANDIA,-,-,-,2,1,-,-,-,-
351410 DOIS CORREGOS,-,-,2,-,1,1,-,-,-
351440 DRACENA,3,3,-,3,-,3,1,2,2
351450 DUARTINA,2,3,1,-,-,-,-,-,1
351460 DUMONT,-,-,-,-,-,-,-,1,-
351470 ECHAPORA,-,-,-,1,-,-,1,-,-
351480 ELDORADO,1,1,1,-,-,1,-,-,-
351500 EMBU DAS ARTES,10,16,1,8,9,2,7,8,3
351510 EMBU-GUACU,-,2,-,1,-,2,1,1,1
351515 ENGENHEIRO COELHO,1,-,-,-,-,-,-,-,1
