Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
320506 VENDA NOVA DO IMIGRANTE,9,11,7,10,3,9,1,12,62
320510 VIANA,-,2,1,1,-,-,-,3,7
320515 VILA PAVAO,-,-,-,-,-,-,-,1,1
320520 VILA VELHA,25,98,64,87,55,53,10,115,507
320530 VITORIA,46,144,101,123,58,79,10,72,633
MUNICIPIO IGNORADO - RJ,1,2,-,-,-,-,-,-,3
330010 ANGRA DOS REIS,4,43,42,48,27,21,4,17,206
330015 APERIBE,-,2,-,6,-,3,-,1,12
330020 ARARUAMA,3,26,14,26,11,19,3,7,109
330022 AREAL,-,-,-,1,-,-,1,-,2
330023 ARMACAO DOS BUZIOS,4,8,14,12,7,9,1,4,59
330025 ARRAIAL DO CABO,-,5,2,10,5,5,2,1,30
330030 BARRA DO PIRAI,-,25,18,25,8,9,4,1,90
330040 BARRA MANSA,4,44,28,56,19,17,6,7,181
330045 BELFORD ROXO,-,24,15,21,18,26,5,22,131
330050 BOM JARDIM,4,5,3,10,5,3,2,-,32
330060 BOM JESUS DO ITABAPOANA,-,16,12,14,9,4,1,2,58
330070 CABO FRIO,2,64,53,102,36,31,11,32,331
330080 CACHOEIRAS DE MACACU,1,15,15,14,10,10,8,12,85
330090 CAMBUCI,-,2,-,1,1,5,-,1,10
330093 CARAPEBUS,-,2,-,-,-,-,-,-,2
330100 CAMPOS DOS GOYTACAZES,202,237,145,208,74,92,17,59,1.034
330110 CANTAGALO,-,9,4,12,6,8,3,13,55
330120 CARMO,3,6,1,5,3,5,1,10,34
330130 CASIMIRO DE ABREU,-,7,6,11,-,8,2,5,39
330140 CONCEICAO DE MACABU,-,1,1,-,-,1,-,1,4
330150 CORDEIRO,-,7,2,8,2,1,-,6,26
330160 DUAS BARRAS,-,1,3,2,-,-,-,-,6
330170 DUQUE DE CAXIAS,179,436,301,511,183,166,31,84,1.891
330180 ENGENHEIRO PAULO DE FRONTIN,1,2,-,-,-,-,-,-,3
330185 GUAPIMIRIM,1,9,7,11,6,3,3,5,45
330187 IGUABA GRANDE,-,1,-,-,-,-,-,1,2
330190 ITABORAI,4,38,40,49,19,16,7,6,179
330200 ITAGUAI,3,35,27,40,16,16,2,19,158
330210 ITAOCARA,1,-,4,7,2,3,3,2,22
330220 ITAPERUNA,6,33,18,38,15,12,3,6,131
330225 ITATIAIA,-,3,3,3,1,1,-,1,12
330227 JAPERI,-,-,1,1,-,1,-,1,4
330230 LAJE DO MURIAE,-,1,1,1,2,-,-,-,5
330240 MACAE,10,99,60,114,41,31,8,42,405
330250 MAGE,3,56,57,67,35,35,9,33,295
330260 MANGARATIBA,-,16,4,9,3,3,-,9,44
330270 MARICA,-,27,17,24,7,10,3,12,100
330280 MENDES,1,-,-,1,-,-,-,1,3
330285 MESQUITA,76,208,138,296,115,123,20,29,1.005
330290 MIGUEL PEREIRA,3,9,13,13,6,6,3,12,65
330300 MIRACEMA,-,7,5,6,6,1,3,-,28
330310 NATIVIDADE,4,5,3,3,2,3,-,3,23
330320 NILOPOLIS,36,108,50,80,35,35,8,22,374
330330 NITEROI,154,317,221,303,104,110,24,65,1.298
330340 NOVA FRIBURGO,9,50,38,50,27,21,6,26,227
330350 NOVA IGUACU,8,312,253,380,121,124,36,103,1.337
330360 PARACAMBI,1,6,7,20,4,11,3,8,60
330370 PARAIBA DO SUL,-,6,1,1,1,2,-,3,14
330380 PARATY,3,12,5,18,8,3,2,8,59
330385 PATY DO ALFERES,-,-,-,1,-,-,-,-,1
330390 PETROPOLIS,46,101,67,92,55,36,7,15,419
330395 PINHEIRAL,-,6,5,1,4,2,-,-,18
330400 PIRAI,-,5,1,12,2,4,-,4,28
330410 PORCIUNCULA,1,1,-,2,-,-,-,-,4
330411 PORTO REAL,-,7,5,5,1,1,1,3,23
330412 QUATIS,-,2,-,-,1,-,-,-,3
330414 QUEIMADOS,3,16,13,22,11,11,3,10,89
330415 QUISSAMA,4,10,4,7,6,1,2,2,36
330420 RESENDE,1,46,29,38,18,12,3,2,149
330430 RIO BONITO,4,20,10,18,7,15,2,26,102
330440 RIO CLARO,-,-,1,5,1,3,-,-,10
330450 RIO DAS FLORES,-,1,-,-,-,-,-,-,1
330452 RIO DAS OSTRAS,6,46,30,41,10,31,9,14,187
330455 RIO DE JANEIRO,641,2.344,1.447,2.221,801,962,199,298,8.913
330460 SANTA MARIA MADALENA,1,3,1,1,-,-,-,1,7
330470 SANTO ANTONIO DE PADUA,11,12,11,15,5,7,-,12,73
330475 SAO FRANCISCO DE ITABAPOANA,-,2,1,-,1,1,-,3,8
330480 SAO FIDELIS,2,1,1,6,2,5,-,1,18
330490 SAO GONCALO,15,244,156,295,107,115,22,66,1.020
330500 SAO JOAO DA BARRA,1,5,2,2,2,2,-,1,15
330510 SAO JOAO DE MERITI,143,415,263,435,139,113,41,46,1.595
330515 SAO JOSE DO VALE DO RIO PRETO,1,1,1,2,2,-,-,1,8
330520 SAO PEDRO DA ALDEIA,6,17,24,43,21,19,9,9,148
330530 SAO SEBASTIAO DO ALTO,3,2,2,5,-,-,-,-,12
330540 SAPUCAIA,-,-,-,-,-,-,-,2,2
330550 SAQUAREMA,17,68,41,64,22,33,6,20,271
330555 SEROPEDICA,-,25,6,24,9,17,4,14,99
330560 SILVA JARDIM,-,2,2,-,1,-,-,1,6
330570 SUMIDOURO,3,3,3,2,1,1,-,2,15
330575 TANGUA,-,-,-,-,-,1,-,1,2
330580 TERESOPOLIS,14,52,44,53,22,27,9,7,228
330590 TRAJANO DE MORAES,1,3,-,1,-,-,-,5,10
330600 TRES RIOS,6,41,36,66,23,23,4,5,204
330610 VALENCA,-,20,12,18,12,8,1,2,73
330615 VARRE-SAI,-,2,1,3,1,-,-,-,7
330620 VASSOURAS,3,45,34,33,9,9,3,16,152
330630 VOLTA REDONDA,5,109,58,86,33,25,5,30,351
MUNICIPIO IGNORADO - SP,-,-,-,-,-,-,-,1,1
350010 ADAMANTINA,1,11,6,11,7,6,-,-,42
350030 AGUAI,-,3,-,-,-,-,-,-,3
350050 AGUAS DE LINDOIA,1,1,1,6,3,5,-,2,19
350060 AGUAS DE SAO PEDRO,-,-,-,-,-,-,-,1,1
350070 AGUDOS,2,6,8,6,-,2,-,2,26
350100 ALTINOPOLIS,-,1,-,-,-,-,-,1,2
350115 ALUMINIO,-,1,-,-,-,-,-,-,1
350130 ALVARES MACHADO,-,-,-,-,-,1,-,-,1
350160 AMERICANA,40,67,37,47,31,28,4,16,270
350170 AMERICO BRASILIENSE,-,-,1,1,1,1,-,1,5
350190 AMPARO,2,20,16,19,10,9,1,-,77
350200 ANALANDIA,-,1,-,1,-,-,-,-,2
350210 ANDRADINA,-,21,11,12,3,8,3,6,64
350220 ANGATUBA,1,5,3,5,4,2,-,-,20
350250 APARECIDA,-,6,7,4,5,3,-,-,25
350270 APIAI,-,8,5,10,2,4,4,8,41
350280 ARACATUBA,36,58,36,44,17,20,6,33,250
350290 ARACOIABA DA SERRA,-,-,-,-,-,-,-,1,1
350320 ARARAQUARA,46,68,32,67,32,16,-,7,268
350330 ARARAS,-,41,36,29,10,14,7,7,144
350340 AREALVA,-,-,1,-,-,-,-,-,1
350380 ARTUR NOGUEIRA,1,7,1,8,4,5,3,1,30
350390 ARUJA,2,30,24,28,7,12,2,15,120
350400 ASSIS,6,38,28,32,16,7,3,8,138
350410 ATIBAIA,2,39,20,41,21,19,3,11,156
350420 AURIFLAMA,-,1,2,-,1,-,1,-,5
350430 AVAI,1,-,1,1,-,-,-,-,3
350450 AVARE,4,18,23,35,13,11,2,23,129
350520 BARIRI,-,2,-,6,1,3,1,3,16
350530 BARRA BONITA,2,9,3,3,4,1,-,4,26
350550 BARRETOS,29,44,23,40,9,16,4,25,190
350560 BARRINHA,2,3,1,1,-,-,-,-,7
350570 BARUERI,38,129,77,122,49,55,5,65,540
350580 BASTOS,-,2,-,-,-,1,-,2,5
350590 BATATAIS,4,5,5,15,4,4,2,4,43
350600 BAURU,109,120,60,94,31,31,10,7,462
350610 BEBEDOURO,14,30,18,22,8,9,6,14,121
350630 BERNARDINO DE CAMPOS,-,-,-,-,1,-,-,1,2
350635 BERTIOGA,-,17,20,30,6,12,3,10,98
350640 BILAC,-,-,-,-,1,-,1,-,2
350650 BIRIGUI,4,25,20,32,12,15,4,4,116
350660 BIRITIBA-MIRIM,-,-,-,-,-,-,-,1,1
350670 BOA ESPERANCA DO SUL,1,1,1,-,-,-,-,-,3
350690 BOFETE,-,1,-,-,-,-,-,-,1
350700 BOITUVA,1,10,7,10,6,6,1,1,42
350710 BOM JESUS DOS PERDOES,-,1,-,-,-,-,-,-,1
350740 BORBOREMA,1,2,-,1,-,-,-,-,4
350750 BOTUCATU,97,107,51,72,22,38,5,32,424
350760 BRAGANCA PAULISTA,5,87,54,74,27,37,6,18,308
350770 BRAUNA,-,-,-,-,-,-,-,1,1
350780 BRODOWSKI,-,1,-,-,-,1,-,-,2
350790 BROTAS,-,1,2,-,-,-,-,-,3
350810 BURITAMA,2,-,-,2,-,2,-,-,6
350820 BURITIZAL,-,1,-,-,-,-,-,-,1
350830 CABRALIA PAULISTA,1,-,-,2,-,-,-,-,3
350840 CABREUVA,1,2,1,4,3,1,-,-,12
350850 CACAPAVA,4,17,18,21,4,4,-,7,75
350860 CACHOEIRA PAULISTA,-,1,-,1,-,1,-,1,4
350870 CACONDE,-,-,-,1,1,-,-,-,2
350880 CAFELANDIA,-,3,3,1,-,1,1,1,10
350900 CAIEIRAS,14,59,41,57,19,34,3,46,273
350920 CAJAMAR,1,10,9,11,6,6,-,2,45
350925 CAJATI,-,1,-,1,-,1,-,-,3
350930 CAJOBI,-,-,-,1,-,1,-,-,2
350940 CAJURU,-,3,4,4,2,4,-,5,22
350950 CAMPINAS,212,415,193,264,113,98,15,219,1.529
350960 CAMPO LIMPO PAULISTA,-,15,7,12,6,4,-,3,47
350970 CAMPOS DO JORDAO,3,14,10,18,3,5,-,1,54
350990 CANANEIA,-,-,-,1,-,-,-,-,1
351000 CANDIDO MOTA,-,-,1,3,-,3,-,-,7
351020 CAPAO BONITO,-,12,13,14,8,5,3,-,55
351030 CAPELA DO ALTO,-,1,-,-,-,-,-,-,1
351040 CAPIVARI,2,23,7,12,4,3,2,9,62
351050 CARAGUATATUBA,2,53,26,41,18,18,9,2,169
351060 CARAPICUIBA,18,104,63,100,49,37,7,43,421
351070 CARDOSO,-,2,-,1,-,-,-,-,3
351080 CASA BRANCA,1,4,1,2,3,2,-,2,15
351100 CASTILHO,-,1,-,-,-,-,-,-,1
351110 CATANDUVA,4,47,21,35,10,18,3,16,154
351140 CERQUEIRA CESAR,-,1,1,3,2,1,-,1,9
351150 CERQUILHO,-,2,3,2,-,1,-,-,8
351160 CESARIO LANGE,-,1,1,1,-,-,-,1,4
351170 CHARQUEADA,-,-,-,1,-,-,-,1,2
351200 COLINA,-,4,-,2,-,1,-,1,8
351210 COLOMBIA,-,-,-,-,-,-,-,1,1
351220 CONCHAL,1,5,2,6,2,5,1,2,24
351230 CONCHAS,-,2,-,1,-,-,-,-,3
351280 COSMOPOLIS,2,4,7,12,1,2,-,8,36
351300 COTIA,7,60,38,46,25,23,1,95,295
351310 CRAVINHOS,1,-,-,-,1,-,-,-,2
351340 CRUZEIRO,5,36,24,30,7,11,1,13,127
351350 CUBATAO,9,38,23,19,9,17,1,4,120
351360 CUNHA,1,4,2,7,2,1,-,4,21
351370 DESCALVADO,1,1,3,1,3,-,-,-,9
351380 DIADEMA,64,114,58,65,26,27,2,23,379
351390 DIVINOLANDIA,-,2,-,1,-,-,-,1,4
351400 DOBRADA,-,1,-,-,-,-,-,-,1
351410 DOIS CORREGOS,2,-,-,-,1,-,-,2,5
351440 DRACENA,1,5,3,5,4,3,-,14,35
351450 DUARTINA,1,2,-,3,-,-,-,-,6
351460 DUMONT,-,-,-,-,-,-,-,1,1
351480 ELDORADO,-,2,-,-,-,1,-,-,3
351490 ELIAS FAUSTO,-,-,-,1,-,-,-,-,1
351492 ELISIARIO,-,-,-,1,-,-,-,-,1
351500 EMBU DAS ARTES,1,31,13,23,8,12,2,14,104
351510 EMBU-GUACU,-,2,-,-,-,-,-,1,3
351512 EMILIANOPOLIS,-,1,-,-,-,-,-,-,1
351515 ENGENHEIRO COELHO,-,1,-,1,-,-,-,-,2
351518 ESPIRITO SANTO DO PINHAL,2,4,6,10,3,4,-,2,31
351520 ESTRELA D'OESTE,1,-,1,-,-,-,-,-,2
351540 FARTURA,-,5,3,1,-,-,-,-,9
351550 FERNANDOPOLIS,-,13,6,9,14,6,1,2,51
351570 FERRAZ DE VASCONCELOS,9,82,40,60,13,29,7,17,257
351600 FLORIDA PAULISTA,-,1,1,1,4,1,-,-,8
351620 FRANCA,97,100,54,80,28,25,3,47,434
351630 FRANCISCO MORATO,4,77,52,67,27,21,6,90,344
351640 FRANCO DA ROCHA,-,8,8,13,6,4,-,12,51
351670 GARCA,3,10,2,8,3,5,1,1,33
351690 GENERAL SALGADO,-,1,-,-,-,-,-,-,1
351740 GUAIRA,3,4,1,8,1,4,-,3,24
351750 GUAPIACU,1,-,-,-,-,-,-,-,1
351760 GUAPIARA,1,3,2,2,1,2,1,-,12
351770 GUARA,-,5,1,-,1,2,2,-,11
351820 GUARARAPES,-,5,3,5,3,2,1,-,19
351830 GUARAREMA,-,4,2,8,1,5,-,3,23
351840 GUARATINGUETA,14,40,23,22,10,6,1,26,142
351860 GUARIBA,1,4,6,5,1,2,-,1,20
351870 GUARUJA,3,87,47,92,25,34,8,12,308
351880 GUARULHOS,138,472,280,377,132,127,24,58,1.608
351905 HOLAMBRA,-,1,-,-,-,-,-,-,1
351907 HORTOLANDIA,5,34,26,30,12,11,4,5,127
351910 IACANGA,1,1,1,3,1,2,-,-,9
351920 IACRI,-,-,1,-,-,-,-,-,1
351930 IBATE,1,2,2,2,2,-,-,4,13
351950 IBIRAREMA,-,1,-,-,-,-,-,-,1
351960 IBITINGA,2,14,10,17,8,5,1,9,66
351970 IBIUNA,2,12,5,20,8,5,4,10,66
351990 IEPE,1,-,-,-,-,-,-,1,2
352000 IGARACU DO TIETE,-,2,-,-,-,-,-,-,2
352010 IGARAPAVA,1,4,3,4,1,4,-,-,17
352020 IGARATA,-,-,2,-,-,-,-,-,2
352030 IGUAPE,-,-,1,-,-,-,-,-,1
352040 ILHABELA,4,8,3,9,1,2,-,-,27
352044 ILHA SOLTEIRA,-,5,-,9,2,1,2,5,24
352050 INDAIATUBA,38,64,26,51,18,21,2,18,238
352090 IPAUSSU,-,1,-,1,-,1,-,1,4
352100 IPERO,-,3,-,-,-,-,-,-,3
352110 IPEUNA,-,-,-,1,-,-,-,-,1
352130 IPUA,-,3,2,2,1,2,-,-,10
352160 IRAPURU,1,-,-,-,-,-,-,-,1
352170 ITABERA,-,-,-,-,-,-,1,-,1
352180 ITAI,-,-,1,1,2,2,-,-,6
352190 ITAJOBI,-,1,-,-,-,-,-,1,2
352210 ITANHAEM,3,73,42,59,22,22,2,11,234
352215 ITAOCA,-,-,1,-,-,-,-,-,1
352220 ITAPECERICA DA SERRA,10,87,60,76,37,36,5,23,334
352230 ITAPETININGA,20,51,29,28,12,14,6,32,192
352240 ITAPEVA,4,71,34,41,15,17,3,-,185
352250 ITAPEVI,28,101,52,86,43,38,8,70,426
352260 ITAPIRA,1,10,14,8,4,5,2,-,44
352270 ITAPOLIS,4,10,7,6,2,4,2,-,35
352280 ITAPORANGA,3,5,1,8,-,1,-,-,18
352290 ITAPUI,-,-,-,-,1,1,-,-,2
352310 ITAQUAQUECETUBA,105,142,61,90,52,51,8,17,526
352320 ITARARE,3,6,5,9,8,2,2,2,37
352340 ITATIBA,2,26,12,23,11,10,-,3,87
352350 ITATINGA,1,-,-,-,1,-,-,-,2
352390 ITU,2,73,19,43,10,10,3,38,198
352400 ITUPEVA,-,2,3,6,1,1,-,1,14
352410 ITUVERAVA,4,11,6,8,7,5,-,4,45
352420 JABORANDI,-,-,-,-,-,-,-,1,1
352430 JABOTICABAL,2,11,3,11,3,11,1,6,48
352440 JACAREI,25,53,42,42,15,22,4,10,213
352460 JACUPIRANGA,-,1,1,-,-,-,-,-,2
352470 JAGUARIUNA,-,10,3,7,2,4,1,1,28
352480 JALES,2,14,6,15,2,4,1,19,63
352500 JANDIRA,-,-,-,2,-,-,-,2,4
352510 JARDINOPOLIS,1,2,-,-,1,-,-,-,4
352530 JAU,4,64,39,48,19,15,5,16,210
352550 JOANOPOLIS,-,-,-,-,-,-,1,-,1
352570 JOSE BONIFACIO,-,3,1,-,1,3,1,1,10
352580 JULIO MESQUITA,-,-,-,1,-,-,-,-,1
352590 JUNDIAI,21,188,110,173,70,56,13,15,646
352600 JUNQUEIROPOLIS,2,5,1,7,3,1,-,3,22
352610 JUQUIA,-,2,-,-,-,-,-,-,2
352620 JUQUITIBA,1,-,-,1,-,-,-,2,4
352640 LARANJAL PAULISTA,1,6,2,7,2,3,-,1,22
352660 LAVRINHAS,-,-,1,-,-,-,-,-,1
352670 LEME,-,19,22,23,6,9,5,1,85
352680 LENCOIS PAULISTA,14,6,5,8,5,3,3,4,48
352690 LIMEIRA,13,78,32,63,34,25,3,14,262
352710 LINS,13,55,23,48,9,14,4,2,168
352720 LORENA,15,53,24,43,14,16,2,35,202
352730 LOUVEIRA,-,1,-,4,2,3,-,-,10
352740 LUCELIA,-,-,4,2,-,1,1,-,8
352750 LUCIANOPOLIS,-,-,-,1,1,-,1,-,3
352770 LUIZIANIA,-,-,-,-,-,-,1,-,1
352800 MACATUBA,4,2,2,3,-,-,-,-,11
352840 MAIRINQUE,-,1,-,-,-,-,-,1,2
352850 MAIRIPORA,4,6,3,12,6,4,-,6,41
352880 MARACAI,-,-,-,1,1,-,-,-,2
352900 MARILIA,91,103,63,96,31,24,3,11,422
352920 MARTINOPOLIS,-,1,-,-,-,-,-,2,3
352930 MATAO,7,20,10,17,7,3,1,21,86
352940 MAUA,4,87,38,71,22,21,4,116,363
352970 MIGUELOPOLIS,1,-,3,1,-,1,-,1,7
352980 MINEIROS DO TIETE,-,-,-,1,-,-,-,-,1
352990 MIRACATU,-,-,-,-,-,-,-,1,1
353010 MIRANDOPOLIS,3,13,3,15,5,4,-,1,44
353030 MIRASSOL,2,2,2,2,1,1,-,-,10
353050 MOCOCA,4,19,16,17,12,8,1,4,81
353060 MOGI DAS CRUZES,6,183,105,132,56,49,10,15,556
353070 MOGI GUACU,46,38,24,27,14,12,1,8,170
353080 MOGI MIRIM,2,29,12,13,3,10,-,4,73
353110 MONGAGUA,-,3,2,-,-,-,-,2,7
353130 MONTE ALTO,3,4,2,7,3,4,-,3,26
353140 MONTE APRAZIVEL,-,1,-,-,-,-,-,-,1
353150 MONTE AZUL PAULISTA,-,2,3,5,1,2,1,-,14
353170 MONTEIRO LOBATO,-,-,-,-,-,-,-,1,1
353180 MONTE MOR,1,16,4,9,1,2,-,1,34
353190 MORRO AGUDO,-,4,1,4,1,2,-,3,15
353200 MORUNGABA,-,-,-,-,1,-,-,-,1
353205 MOTUCA,1,-,-,-,-,-,-,-,1
353240 NAZARE PAULISTA,-,1,1,-,1,1,-,-,4
353260 NHANDEARA,-,1,1,2,-,-,1,3,8
353270 NIPOA,-,-,-,-,-,-,-,1,1
353282 NOVA CAMPINA,-,2,-,-,-,-,-,-,2
353290 NOVA EUROPA,2,-,1,2,-,3,-,-,8
353340 NOVA ODESSA,-,9,2,3,2,1,-,2,19
353350 NOVO HORIZONTE,3,6,6,5,-,2,-,1,23
353390 OLIMPIA,10,11,12,12,3,3,1,5,57
353430 ORLANDIA,4,8,4,15,1,1,-,15,48
353440 OSASCO,34,219,134,166,59,59,21,84,776
353460 OSVALDO CRUZ,5,4,6,2,3,2,2,-,24
353470 OURINHOS,13,35,15,31,7,12,-,26,139
353475 OUROESTE,-,-,-,-,1,-,-,-,1
353530 PALMITAL,2,3,4,-,-,1,-,-,10
353540 PANORAMA,1,2,2,4,-,2,-,1,12
353550 PARAGUACU PAULISTA,-,5,2,11,1,3,-,4,26
353580 PARANAPANEMA,1,1,-,1,-,1,-,6,10
353600 PARAPUA,1,2,-,-,1,-,-,-,4
353620 PARIQUERA-ACU,13,45,32,49,26,30,6,9,210
353630 PATROCINIO PAULISTA,-,6,1,4,1,-,1,2,15
353640 PAULICEIA,1,1,-,-,-,-,-,-,2
353650 PAULINIA,2,11,2,7,3,5,3,9,42
353660 PAULO DE FARIA,-,1,-,-,-,-,-,-,1
353670 PEDERNEIRAS,1,8,5,6,-,5,1,1,27
353700 PEDREGULHO,-,-,1,3,3,-,-,1,8
353710 PEDREIRA,-,5,2,3,1,-,-,-,11
353720 PEDRO DE TOLEDO,-,-,1,-,-,-,-,-,1
353730 PENAPOLIS,4,7,15,22,6,5,1,3,63
353740 PEREIRA BARRETO,-,-,1,5,1,5,-,2,14
353750 PEREIRAS,1,-,-,-,-,-,-,-,1
353760 PERUIBE,1,7,7,5,1,1,-,1,23
353780 PIEDADE,3,6,3,11,3,4,-,9,39
353790 PILAR DO SUL,-,6,3,6,1,2,-,-,18
353800 PINDAMONHANGABA,57,39,32,42,11,19,6,4,210
353820 PINHALZINHO,-,-,1,-,-,1,-,-,2
353850 PIQUETE,-,-,-,-,-,-,-,1,1
353860 PIRACAIA,-,-,-,1,-,-,-,1,2
353870 PIRACICABA,124,126,70,104,41,32,12,-,509
353880 PIRAJU,1,3,4,7,-,-,-,6,21
353890 PIRAJUI,1,2,-,1,1,3,1,-,9
353900 PIRANGI,-,-,-,-,-,-,-,1,1
353910 PIRAPORA DO BOM JESUS,-,-,1,-,2,-,-,1,4
353920 PIRAPOZINHO,-,-,-,-,-,-,-,1,1
353930 PIRASSUNUNGA,3,19,10,24,9,9,1,-,75
353940 PIRATININGA,-,2,2,-,2,1,-,-,7
353950 PITANGUEIRAS,-,4,2,7,5,8,-,3,29
353980 POA,-,-,1,1,-,-,-,1,3
354000 POMPEIA,-,2,1,-,1,-,-,-,4
354020 PONTAL,2,8,3,12,2,4,-,1,32
354040 POPULINA,-,-,-,-,-,1,-,-,1
354050 PORANGABA,-,-,-,1,-,-,-,-,1
354060 PORTO FELIZ,-,12,8,10,5,4,-,5,44
354070 PORTO FERREIRA,10,6,6,13,3,1,1,2,42
354075 POTIM,-,-,1,-,-,-,-,-,1
354080 POTIRENDABA,-,1,-,-,-,-,-,-,1
354090 PRADOPOLIS,-,2,-,-,-,-,-,-,2
354100 PRAIA GRANDE,-,83,44,63,45,29,5,12,281
354110 PRESIDENTE ALVES,-,-,1,-,-,-,-,-,1
354120 PRESIDENTE BERNARDES,-,-,-,-,-,-,1,-,1
354130 PRESIDENTE EPITACIO,5,7,7,8,5,5,-,8,45
354140 PRESIDENTE PRUDENTE,102,135,73,120,29,37,10,13,519
354150 PRESIDENTE VENCESLAU,-,1,3,12,3,4,1,1,25
354160 PROMISSAO,-,3,1,3,1,-,-,3,11
354190 QUELUZ,-,1,-,-,-,-,-,-,1
354220 RANCHARIA,1,7,7,10,3,7,1,2,38
354240 REGENTE FEIJO,2,-,-,1,2,2,-,1,8
354250 REGINOPOLIS,-,1,1,-,-,1,1,-,4
354260 REGISTRO,-,23,17,31,14,13,3,7,108
354280 RIBEIRA,-,1,1,-,-,-,-,-,2
354290 RIBEIRAO BONITO,-,3,-,-,1,-,-,1,5
354300 RIBEIRAO BRANCO,-,-,1,-,-,-,-,-,1
354325 RIBEIRAO GRANDE,-,-,-,-,-,-,-,2,2
354330 RIBEIRAO PIRES,1,12,8,17,9,10,-,12,69
354340 RIBEIRAO PRETO,295,261,145,218,89,72,21,50,1.151
354390 RIO CLARO,10,56,43,48,17,30,4,2,210
354400 RIO DAS PEDRAS,1,2,-,1,1,1,-,-,6
354425 ROSANA,4,8,4,6,3,3,-,-,28
354490 SALES OLIVEIRA,-,-,1,4,1,-,-,-,6
354510 SALMOURAO,-,-,1,-,-,-,-,-,1
354520 SALTO,2,21,14,13,4,7,3,14,78
354530 SALTO DE PIRAPORA,-,1,6,4,1,1,1,-,14
354540 SALTO GRANDE,-,-,1,1,-,-,-,1,3
354580 SANTA BARBARA D'OESTE,13,36,17,18,7,14,-,6,111
354600 SANTA BRANCA,-,-,-,-,-,-,-,1,1
354630 SANTA CRUZ DAS PALMEIRAS,4,7,5,6,3,6,-,2,33
354640 SANTA CRUZ DO RIO PARDO,7,12,13,15,5,9,-,-,61
354660 SANTA FE DO SUL,2,10,12,13,5,6,-,-,48
354680 SANTA ISABEL,2,16,5,20,13,6,1,7,70
354700 SANTA MARIA DA SERRA,-,-,1,-,-,-,-,-,1
354730 SANTANA DE PARNAIBA,-,8,5,10,5,2,-,2,32
354750 SANTA RITA DO PASSA QUATRO,-,1,3,4,2,2,-,-,12
354760 SANTA ROSA DE VITERBO,-,1,-,-,-,1,-,-,2
354770 SANTO ANASTACIO,-,1,-,3,1,2,-,3,10
354780 SANTO ANDRE,31,197,83,145,64,44,9,46,619
354790 SANTO ANTONIO DA ALEGRIA,-,1,-,-,-,-,-,-,1
354800 SANTO ANTONIO DE POSSE,-,1,-,-,-,-,-,-,1
354820 SANTO ANTONIO DO PINHAL,-,-,1,-,-,-,-,-,1
354850 SANTOS,41,238,152,213,73,89,10,15,831
354860 SAO BENTO DO SAPUCAI,1,-,-,1,1,1,-,1,5
354870 SAO BERNARDO DO CAMPO,55,271,123,170,72,61,6,34,792
354880 SAO CAETANO DO SUL,3,21,9,20,11,6,-,16,86
354890 SAO CARLOS,15,84,35,57,18,20,6,50,285
354910 SAO JOAO DA BOA VISTA,8,40,12,24,11,8,3,15,121
354940 SAO JOAQUIM DA BARRA,-,13,6,19,4,6,-,5,53
354970 SAO JOSE DO RIO PARDO,4,14,11,15,6,2,-,6,58
354980 SAO JOSE DO RIO PRETO,166,182,110,159,60,46,8,23,754
354990 SAO JOSE DOS CAMPOS,143,171,86,110,42,61,9,69,691
355010 SAO MANUEL,-,1,1,1,-,-,1,3,7
355020 SAO MIGUEL ARCANJO,-,-,1,-,-,-,-,-,1
355030 SAO PAULO,1.994,4.054,2.103,2.998,1.167,1.158,180,1.704,15.358
355040 SAO PEDRO,1,5,3,3,2,2,2,2,20
355050 SAO PEDRO DO TURVO,-,-,-,-,-,-,-,1,1
355060 SAO ROQUE,2,36,24,31,12,11,6,21,143
355070 SAO SEBASTIAO,1,25,12,27,8,9,2,6,90
355080 SAO SEBASTIAO DA GRAMA,-,1,-,1,-,-,-,1,3
355090 SAO SIMAO,1,-,-,1,-,-,-,-,2
355100 SAO VICENTE,1,63,41,62,26,20,5,13,231
355140 SERRA AZUL,-,1,1,1,-,-,-,-,3
355150 SERRANA,1,4,-,-,1,1,-,3,10
355160 SERRA NEGRA,-,3,1,4,1,3,-,-,12
355170 SERTAOZINHO,3,37,23,41,12,16,3,33,168
355190 SEVERINIA,-,-,-,-,-,-,-,1,1
355200 SILVEIRAS,1,-,-,-,-,-,-,-,1
355210 SOCORRO,1,5,-,8,-,3,-,1,18
355220 SOROCABA,110,256,137,171,80,79,19,54,906
355230 SUD MENNUCCI,-,3,1,-,-,-,1,-,5
355240 SUMARE,18,59,37,57,13,16,5,13,218
355250 SUZANO,2,89,56,64,30,40,4,21,306
355270 TABATINGA,2,1,-,-,-,1,-,-,4
355280 TABOAO DA SERRA,27,149,72,130,35,35,18,24,490
355300 TAGUAI,-,1,1,2,3,1,-,-,8
355310 TAIACU,2,-,-,-,-,-,-,-,2
355320 TAIUVA,-,-,-,-,-,-,-,1,1
355330 TAMBAU,-,3,2,5,1,-,1,1,13
355350 TAPIRAI,-,1,-,-,-,-,-,-,1
355370 TAQUARITINGA,-,7,5,9,10,1,1,2,35
